,carType,year
1009,ICE,2021
1010,ICE,2021
1011,ICE,2021
1012,ICE,2021
1013,ICE,2021
1014,ICE,2021
1015,ICE,2021
1016,ICE,2021
1017,ICE,2021
1018,ICE,2021
1019,ICE,2021
1020,ICE,2021
1021,ICE,2021
1022,ICE,2011
1023,ICE,2011
1024,ICE,2011
1025,ICE,2011
1026,ICE,2011
1027,ICE,2011
1028,ICE,2011
1029,ICE,2011
1030,ICE,2011
1031,ICE,2011
1032,ICE,2011
1033,ICE,2011
1034,ICE,2011
1035,ICE,2011
1036,ICE,2011
1037,ICE,2011
1038,ICE,2011
1039,ICE,2011
1040,ICE,2011
1041,ICE,2011
1042,ICE,2012
1043,ICE,2012
1044,ICE,2012
1045,ICE,2012
1046,ICE,2012
1047,ICE,2012
1048,ICE,2012
1049,ICE,2012
1050,ICE,2012
1051,ICE,2012
1052,ICE,2012
1053,ICE,2012
1054,ICE,2012
1055,ICE,2012
1056,ICE,2012
1057,ICE,2012
1058,ICE,2012
1059,ICE,2012
1060,ICE,2012
1061,ICE,2012
1062,ICE,2013
1063,ICE,2013
1064,ICE,2013
1065,ICE,2013
1066,ICE,2013
1067,ICE,2013
1068,ICE,2013
1069,ICE,2013
1070,ICE,2013
1071,ICE,2013
1072,ICE,2013
1073,ICE,2013
1074,ICE,2013
1075,ICE,2013
1076,ICE,2013
1077,ICE,2013
1078,ICE,2013
1079,ICE,2013
1080,ICE,2013
1081,ICE,2013
1082,ICE,2014
1083,ICE,2014
1084,ICE,2014
1085,ICE,2014
1086,ICE,2014
1087,EV,2014
1088,ICE,2014
1089,ICE,2014
1090,ICE,2014
1091,ICE,2014
1092,ICE,2014
1093,ICE,2014
1094,ICE,2014
1095,ICE,2014
1096,ICE,2014
1097,ICE,2014
1098,ICE,2014
1099,ICE,2014
1100,ICE,2014
1101,ICE,2014
1102,ICE,2015
1103,ICE,2015
1104,ICE,2015
1105,ICE,2015
1106,ICE,2015
1107,ICE,2015
1108,ICE,2015
1109,ICE,2015
1110,ICE,2015
1111,ICE,2015
1112,ICE,2015
1113,ICE,2015
1114,ICE,2015
1115,ICE,2015
1116,ICE,2015
1117,ICE,2015
1118,ICE,2015
1119,ICE,2015
1120,ICE,2015
1121,ICE,2016
1122,ICE,2016
1123,ICE,2016
1124,ICE,2016
1125,ICE,2016
1126,ICE,2016
1127,ICE,2016
1128,ICE,2016
1129,ICE,2016
1130,ICE,2016
