,year,carType
1363,2018,ICE
1364,2018,ICE
1365,2018,ICE
1366,2018,ICE
1367,2018,ICE
1368,2018,ICE
1369,2018,ICE
1370,2018,ICE
1371,2018,ICE
1372,2018,ICE
1373,2018,ICE
1374,2018,ICE
1375,2018,ICE
1376,2018,ICE
1377,2018,ICE
1378,2018,ICE
1379,2018,ICE
1380,2019,ICE
1381,2019,ICE
1382,2019,ICE
1383,2019,ICE
1384,2019,ICE
1385,2019,ICE
1386,2019,ICE
1387,2019,ICE
1388,2019,ICE
1389,2019,ICE
1390,2019,ICE
1391,2019,ICE
1392,2019,ICE
1393,2019,ICE
1394,2019,ICE
1395,2019,ICE
1396,2019,ICE
1397,2019,ICE
1398,2019,ICE
1399,2019,ICE
1400,2020,ICE
1401,2020,ICE
1402,2020,EV
1403,2020,ICE
1404,2020,ICE
1405,2020,ICE
1406,2020,ICE
1407,2020,ICE
1408,2020,ICE
1409,2020,ICE
1410,2020,ICE
1411,2020,ICE
1412,2020,ICE
1413,2020,ICE
1414,2020,ICE
1415,2020,ICE
1416,2020,ICE
1417,2020,ICE
1418,2020,ICE
1419,2020,ICE
1420,2021,ICE
1421,2021,ICE
1422,2021,ICE
1423,2021,ICE
1424,2021,ICE
1425,2021,ICE
1426,2021,ICE
1427,2021,ICE
1428,2021,ICE
1429,2021,ICE
1430,2021,ICE
1431,2021,ICE
1432,2021,ICE
1433,2021,ICE
1434,2021,ICE
1435,2021,ICE
1436,2021,ICE
1437,2021,ICE
1438,2021,ICE
1439,2011,ICE
1440,2011,ICE
1441,2011,ICE
1442,2011,ICE
1443,2011,ICE
1444,2011,ICE
1445,2011,ICE
1446,2011,ICE
1447,2011,ICE
1448,2011,ICE
1449,2011,ICE
1450,2011,ICE
1451,2011,ICE
1452,2011,ICE
1453,2011,ICE
1454,2011,ICE
1455,2011,ICE
1456,2011,ICE
1457,2011,ICE
1458,2011,ICE
1459,2012,ICE
1460,2012,ICE
1461,2012,ICE
1462,2012,ICE
1463,2012,ICE
1464,2012,ICE
1465,2012,ICE
