,mileage,make,model,fuel,gear,offerType,price,hp,year,carType
41545,10200,Kia,Soul,Electric,Automatic,Used,21860,110.0,2017,EV
41584,30415,smart,forTwo,Electric,Automatic,Used,14290,82.0,2017,EV
41665,36000,Tesla,Model X,Electric,Automatic,Used,62900,333.0,2017,EV
41735,32138,Hyundai,Ioniq,Electric,Manual,Used,18490,120.0,2017,EV
41755,41946,Tesla,Model S,Electric,Automatic,Used,99999,532.0,2017,EV
41785,43000,BMW,i3,Electric,Automatic,Used,19310,170.0,2017,EV
41786,20990,Volkswagen,Golf,Electric,Automatic,Used,19430,136.0,2017,EV
41971,20359,smart,forTwo,Electric,Automatic,Used,9990,82.0,2018,EV
42027,27264,Renault,ZOE,Electric,Automatic,Used,10490,58.0,2018,EV
42030,62000,Renault,ZOE,Electric,Automatic,Used,10699,92.0,2018,EV
42053,25900,Nissan,Leaf,Electric,Automatic,Used,22890,150.0,2018,EV
42146,20000,Renault,ZOE,Electric,Automatic,Used,11890,58.0,2018,EV
42202,50000,Renault,ZOE,Electric,Automatic,Used,12470,58.0,2018,EV
42392,161000,Renault,ZOE,Electric,Automatic,Used,6950,92.0,2018,EV
42400,37000,Renault,ZOE,Electric,Automatic,Used,10470,58.0,2018,EV
42404,12600,Renault,ZOE,Electric,Automatic,Used,11290,58.0,2018,EV
42408,25000,Renault,ZOE,Electric,Automatic,Used,12270,92.0,2018,EV
42434,16360,Renault,ZOE,Electric,Automatic,Used,9490,58.0,2018,EV
42511,46200,Renault,ZOE,Electric,Automatic,Used,12900,58.0,2018,EV
42536,13842,Renault,ZOE,Electric,Automatic,Used,11890,58.0,2018,EV
42593,10114,Renault,ZOE,Electric,Automatic,Used,13890,72.0,2018,EV
42604,18415,smart,forTwo,Electric,Automatic,Used,14870,82.0,2018,EV
42626,19400,Nissan,Leaf,Electric,Automatic,Used,19955,122.0,2018,EV
42914,11990,Opel,Ampera,Electric,Automatic,Used,25899,204.0,2018,EV
42922,14485,Jaguar,I-Pace,Electric,Automatic,Used,69998,400.0,2018,EV
42998,1817,MINI,Cooper SE,Electric,Manual,Used,27790,102.0,2019,EV
43167,17914,smart,forFour,Electric,Automatic,Used,11590,82.0,2019,EV
43218,26929,Renault,ZOE,Electric,Automatic,Used,11990,72.0,2019,EV
43220,32430,Renault,ZOE,Electric,Automatic,Used,11990,72.0,2019,EV
43236,7400,Nissan,E-NV200,Electric,Automatic,Used,36450,109.0,2019,EV
43269,7296,smart,forFour,Electric,Automatic,Used,12290,82.0,2019,EV
43285,250,Estrima,Birò,Electric,Automatic,Used,12590,5.0,2019,EV
43330,17061,smart,forTwo,Electric,Automatic,Used,12678,56.0,2019,EV
43403,8206,smart,forTwo,Electric,Automatic,Used,13390,82.0,2019,EV
43444,200,Estrima,Birò,Electric,Automatic,Used,13590,5.0,2019,EV
43457,3155,smart,forTwo,Electric,Automatic,Used,13970,82.0,2019,EV
43524,23874,Renault,ZOE,Electric,Automatic,Used,10990,72.0,2019,EV
43526,25700,Renault,ZOE,Electric,Automatic,Used,11978,109.0,2019,EV
43528,20500,Renault,ZOE,Electric,Automatic,Used,12150,92.0,2019,EV
43531,24900,Renault,ZOE,Electric,Automatic,Used,12970,109.0,2019,EV
43532,18833,Renault,ZOE,Electric,Automatic,Used,12990,72.0,2019,EV
43534,3900,Renault,ZOE,Electric,Automatic,Used,13450,109.0,2019,EV
43535,11500,Renault,Kangoo Z.E.,Electric,Automatic,Used,13890,60.0,2019,EV
43537,15900,Renault,ZOE,Electric,Automatic,Demonstration,14380,69.0,2019,EV
43568,9410,Renault,ZOE,Electric,Automatic,Used,11389,58.0,2019,EV
43624,7985,smart,forTwo,Electric,Automatic,Used,14498,56.0,2019,EV
43668,18309,Renault,ZOE,Electric,Automatic,Used,13990,72.0,2019,EV
43669,14915,Renault,ZOE,Electric,Automatic,Used,13990,72.0,2019,EV
43685,15588,Renault,ZOE,Electric,Automatic,Used,17791,58.0,2019,EV
43723,7000,smart,forTwo,Electric,Automatic,Used,15500,82.0,2019,EV
43737,9885,Renault,ZOE,Electric,Automatic,Used,16990,72.0,2019,EV
43749,10746,BMW,i3,Electric,Automatic,Used,25980,102.0,2019,EV
43765,12300,Nissan,Leaf,Electric,Automatic,Used,19980,136.0,2019,EV
43778,14358,Renault,ZOE,Electric,Automatic,Used,16990,72.0,2019,EV
43779,13429,Renault,ZOE,Electric,Automatic,Used,16990,72.0,2019,EV
43781,14512,Renault,ZOE,Electric,Automatic,Used,17489,72.0,2019,EV
43782,12728,Renault,ZOE,Electric,Automatic,Used,17489,72.0,2019,EV
43787,14502,Renault,ZOE,Electric,Automatic,Used,17990,72.0,2019,EV
43829,6286,BMW,i3,Electric,Automatic,Used,24441,170.0,2019,EV
43841,6410,Volkswagen,Golf,Electric,Automatic,Used,20740,136.0,2019,EV
44023,7450,Nissan,Leaf,Electric,Automatic,Used,23970,150.0,2019,EV
44028,20964,Tesla,Model 3,Electric,Automatic,Used,62990,487.0,2019,EV
44071,11752,Audi,e-tron,Electric,Automatic,Used,71970,360.0,2019,EV
44118,19000,Hyundai,Ioniq,Electric,Automatic,Demonstration,21995,120.0,2020,EV
44123,850,Opel,Corsa,Electric,Automatic,Demonstration,22650,136.0,2020,EV
44170,9990,Hyundai,Ioniq,Electric,Automatic,Demonstration,22995,120.0,2020,EV
44172,5400,Renault,ZOE,Electric,Automatic,Demonstration,23280,69.0,2020,EV
44210,1000,Volkswagen,ID.3,Electric,Automatic,Used,42380,204.0,2020,EV
44236,6231,Volkswagen,Golf,Electric,Automatic,Employee's car,25525,136.0,2020,EV
44315,9900,Porsche,Taycan,Electric,Automatic,Demonstration,114500,571.0,2020,EV
44328,1000,Polestar,2,Electric,Automatic,Used,64320,408.0,2020,EV
44396,2000,smart,forFour,Electric,Automatic,Employee's car,12990,82.0,2020,EV
44418,3314,Honda,e,Electric,Automatic,Demonstration,29000,154.0,2020,EV
44423,3000,Mazda,MX-30,Electric,Automatic,Demonstration,23450,145.0,2020,EV
44477,4066,Volkswagen,Golf,Electric,Automatic,Used,29990,136.0,2020,EV
44491,3500,Skoda,Citigo,Electric,Automatic,Used,23882,83.0,2020,EV
44506,13200,BMW,i3,Electric,Automatic,Used,29850,170.0,2020,EV
44509,3195,MINI,Cooper SE,Electric,Automatic,Used,31850,184.0,2020,EV
44539,4255,Audi,e-tron,Electric,Automatic,Demonstration,69990,408.0,2020,EV
44679,250,Renault,ZOE,Electric,Automatic,Demonstration,10880,58.0,2020,EV
44698,100,Renault,ZOE,Electric,Automatic,Pre-registered,9880,72.0,2020,EV
44716,2727,Renault,Twingo,Electric,Automatic,Demonstration,11780,42.0,2020,EV
44725,1001,Renault,Twingo,Electric,Automatic,Demonstration,11080,82.0,2020,EV
44797,2000,Renault,ZOE,Electric,Automatic,Used,16670,109.0,2020,EV
44820,8100,Renault,ZOE,Electric,Automatic,Demonstration,13880,69.0,2020,EV
44826,8828,Renault,ZOE,Electric,Automatic,Used,14990,69.0,2020,EV
44827,11637,Renault,ZOE,Electric,Automatic,Used,14990,69.0,2020,EV
44834,1001,Renault,Kangoo,Electric,Automatic,Demonstration,15580,60.0,2020,EV
44868,16018,Renault,ZOE,Electric,Automatic,Used,14990,69.0,2020,EV
44869,11518,Renault,ZOE,Electric,Automatic,Used,14990,69.0,2020,EV
